ACC=0.716396, f1_macro=0.699005, precision_macro=0.732989, recall_macro=0.700331, f1_micro=0.716396, precision_micro=0.716396, recall_micro=0.716396, NMI=0.495868, ADJ_RAND_SCORE=0.475393
ACC=0.711226, f1_macro=0.692852, precision_macro=0.729473, recall_macro=0.692573, f1_micro=0.711226, precision_micro=0.711226, recall_micro=0.711226, NMI=0.491587, ADJ_RAND_SCORE=0.470014
ACC=0.714180, f1_macro=0.695417, precision_macro=0.734758, recall_macro=0.694751, f1_micro=0.714180, precision_micro=0.714180, recall_micro=0.714180, NMI=0.497533, ADJ_RAND_SCORE=0.473127
ACC=0.712334, f1_macro=0.692483, precision_macro=0.731120, recall_macro=0.694118, f1_micro=0.712334, precision_micro=0.712334, recall_micro=0.712334, NMI=0.498492, ADJ_RAND_SCORE=0.476354
ACC=0.717504, f1_macro=0.697018, precision_macro=0.731537, recall_macro=0.698600, f1_micro=0.717504, precision_micro=0.717504, recall_micro=0.717504, NMI=0.496981, ADJ_RAND_SCORE=0.481619
ACC=0.710857, f1_macro=0.691074, precision_macro=0.729023, recall_macro=0.692841, f1_micro=0.710857, precision_micro=0.710857, recall_micro=0.710857, NMI=0.489135, ADJ_RAND_SCORE=0.469897
ACC=0.707533, f1_macro=0.688591, precision_macro=0.725659, recall_macro=0.691264, f1_micro=0.707533, precision_micro=0.707533, recall_micro=0.707533, NMI=0.488123, ADJ_RAND_SCORE=0.467950
ACC=0.713442, f1_macro=0.695104, precision_macro=0.730596, recall_macro=0.699611, f1_micro=0.713442, precision_micro=0.713442, recall_micro=0.713442, NMI=0.495234, ADJ_RAND_SCORE=0.474509
ACC=0.705318, f1_macro=0.687431, precision_macro=0.721911, recall_macro=0.691262, f1_micro=0.705318, precision_micro=0.705318, recall_micro=0.705318, NMI=0.487040, ADJ_RAND_SCORE=0.463770
ACC=0.713811, f1_macro=0.697078, precision_macro=0.731327, recall_macro=0.699995, f1_micro=0.713811, precision_micro=0.713811, recall_micro=0.713811, NMI=0.499828, ADJ_RAND_SCORE=0.474793
ACC=0.714549, f1_macro=0.695320, precision_macro=0.725935, recall_macro=0.701041, f1_micro=0.714549, precision_micro=0.714549, recall_micro=0.714549, NMI=0.498272, ADJ_RAND_SCORE=0.481110
ACC=0.712703, f1_macro=0.694360, precision_macro=0.728486, recall_macro=0.697475, f1_micro=0.712703, precision_micro=0.712703, recall_micro=0.712703, NMI=0.502922, ADJ_RAND_SCORE=0.479983
ACC=0.715657, f1_macro=0.696891, precision_macro=0.729960, recall_macro=0.700348, f1_micro=0.715657, precision_micro=0.715657, recall_micro=0.715657, NMI=0.500542, ADJ_RAND_SCORE=0.480056
ACC=0.712703, f1_macro=0.694685, precision_macro=0.732308, recall_macro=0.695657, f1_micro=0.712703, precision_micro=0.712703, recall_micro=0.712703, NMI=0.498381, ADJ_RAND_SCORE=0.475501
ACC=0.713442, f1_macro=0.694061, precision_macro=0.727446, recall_macro=0.697746, f1_micro=0.713442, precision_micro=0.713442, recall_micro=0.713442, NMI=0.501067, ADJ_RAND_SCORE=0.477031
ACC=0.715288, f1_macro=0.696108, precision_macro=0.731747, recall_macro=0.699052, f1_micro=0.715288, precision_micro=0.715288, recall_micro=0.715288, NMI=0.499720, ADJ_RAND_SCORE=0.480904
ACC=0.718612, f1_macro=0.699603, precision_macro=0.734035, recall_macro=0.702570, f1_micro=0.718612, precision_micro=0.718612, recall_micro=0.718612, NMI=0.503096, ADJ_RAND_SCORE=0.483985
ACC=0.717504, f1_macro=0.697424, precision_macro=0.731809, recall_macro=0.700896, f1_micro=0.717504, precision_micro=0.717504, recall_micro=0.717504, NMI=0.501025, ADJ_RAND_SCORE=0.485446
ACC=0.713072, f1_macro=0.696152, precision_macro=0.727634, recall_macro=0.699657, f1_micro=0.713072, precision_micro=0.713072, recall_micro=0.713072, NMI=0.497254, ADJ_RAND_SCORE=0.476174
